"Time" , "Network IN bytes" , "Network OUT bytes" , "Battery %" , "Description"
"16.08.2022 06:06:46" , "15419" , "5683" , "58" , "Startup"
"16.08.2022 06:07:07" , "18549" , "6348" , "58" , "Without Internet"
"16.08.2022 06:11:24" , "510443" , "255403" , "57" , "Internet work"
"16.08.2022 06:22:37" , "24306159" , "1406889" , "54" , "No Internet"
"16.08.2022 07:00:01" , "24615156" , "1533594" , "45" , ""
"16.08.2022 07:16:21" , "27644436" , "2023401" , "42" , "Start Charging"
"16.08.2022 07:18:50" , "29518509" , "2187429" , "44" , "There is Internet"
"16.08.2022 07:56:30" , "111689237" , "5888835" , "80" , "End Charging"
"16.08.2022 08:00:01" , "114408853" , "6146695" , "78" , ""
"16.08.2022 08:09:48" , "138703639" , "7336916" , "73" , "No Internet"
"16.08.2022 08:29:07" , "138867087" , "7405355" , "69" , "There is Internet"
"16.08.2022 09:00:01" , "175041975" , "11056793" , "55" , ""
"16.08.2022 10:44:34" , "20426555" , "518819" , "48" , "Включив пк"
"16.08.2022 10:41:33" , "20426555" , "518819" , "48" , "Приїхав до академіка"
"16.08.2022 10:46:25" , "20442748" , "522989" , "48" , "On"
"16.08.2022 11:00:01" , "22295538" , "680600" , "46" , ""
"16.08.2022 11:02:50" , "22368620" , "708390" , "45" , "Start Duolingo"
"16.08.2022 11:07:27" , "22474371" , "732614" , "44" , "End Duolingo"
